,Star_name,Distance,Mass,Radius
150,2MASSI J1526140+204341 [de],2MASSI J1526140+204341 [de],2MASSI J1526140+204341 [de],2MASSI J1526140+204341 [de]
151,DENIS-P J153941.96-052042.4 [de],DENIS-P J153941.96-052042.4 [de],DENIS-P J153941.96-052042.4 [de],DENIS-P J153941.96-052042.4 [de]
152,2MASS J15462718-3325111 [de],2MASS J15462718-3325111 [de],2MASS J15462718-3325111 [de],2MASS J15462718-3325111 [de]
153,2MASSW J1552591+294849 [de],2MASSW J1552591+294849 [de],2MASSW J1552591+294849 [de],2MASSW J1552591+294849 [de]
154,2MASSW J1555157-095605 [de],2MASSW J1555157-095605 [de],2MASSW J1555157-095605 [de],2MASSW J1555157-095605 [de]
155,2MASS J16150413+1340079 [de],2MASS J16150413+1340079 [de],2MASS J16150413+1340079 [de],2MASS J16150413+1340079 [de]
156,SDSSp J162414.37+002915.6 [de],SDSSp J162414.37+002915.6 [de],SDSSp J162414.37+002915.6 [de],SDSSp J162414.37+002915.6 [de]
157,2MASS J16262034+3925190 [de],2MASS J16262034+3925190 [de],2MASS J16262034+3925190 [de],2MASS J16262034+3925190 [de]
158,2MASSW J1632291+190441 [de],2MASSW J1632291+190441 [de],2MASSW J1632291+190441 [de],2MASSW J1632291+190441 [de]
159,WISEPA J164715.59+563208.2,WISEPA J164715.59+563208.2,WISEPA J164715.59+563208.2,WISEPA J164715.59+563208.2
160,LSPM J1658+7027 [de],LSPM J1658+7027 [de],LSPM J1658+7027 [de],LSPM J1658+7027 [de]
161,2MASSI J1726000+153819,2MASSI J1726000+153819,2MASSI J1726000+153819,2MASSI J1726000+153819
162,2MASSW J1728114+394859,2MASSW J1728114+394859,2MASSW J1728114+394859,2MASSW J1728114+394859
163,SDSSp J175032.96+175903.9,SDSSp J175032.96+175903.9,SDSSp J175032.96+175903.9,SDSSp J175032.96+175903.9
164,2MASS J18283572-4849046,2MASS J18283572-4849046,2MASS J18283572-4849046,2MASS J18283572-4849046
165,LSR J1835+3259,LSR J1835+3259,LSR J1835+3259,LSR J1835+3259
166,2MASSW J1841086+311727,2MASSW J1841086+311727,2MASSW J1841086+311727,2MASSW J1841086+311727
167,2MASS J18432213+4040209,2MASS J18432213+4040209,2MASS J18432213+4040209,2MASS J18432213+4040209
168,2MASS J20004841-7523070,2MASS J20004841-7523070,2MASS J20004841-7523070,2MASS J20004841-7523070
169,SDSS J204749.61-071818.3,SDSS J204749.61-071818.3,SDSS J204749.61-071818.3,SDSS J204749.61-071818.3
170,2MASSI J2057540-025230,2MASSI J2057540-025230,2MASSI J2057540-025230,2MASSI J2057540-025230
171,2MASSW J2101154+175658,2MASSW J2101154+175658,2MASSW J2101154+175658,2MASSW J2101154+175658
172,2MASSI J2104149-103736,2MASSI J2104149-103736,2MASSI J2104149-103736,2MASSI J2104149-103736
173,PSO J318.5−22,PSO J318.5−22,PSO J318.5−22,PSO J318.5−22
174,HB 2124-4228,HB 2124-4228,HB 2124-4228,HB 2124-4228
175,2MASS J21392676+0220226,2MASS J21392676+0220226,2MASS J21392676+0220226,2MASS J21392676+0220226
176,2MASS J21481628+4003593,2MASS J21481628+4003593,2MASS J21481628+4003593,2MASS J21481628+4003593
177,2MASS J14112131-2119503,2MASS J14112131-2119503,2MASS J14112131-2119503,2MASS J14112131-2119503
178,2MASSW J2206450-421721,2MASSW J2206450-421721,2MASSW J2206450-421721,2MASSW J2206450-421721
179,2MASSW J2208136+292121,2MASSW J2208136+292121,2MASSW J2208136+292121,2MASSW J2208136+292121
180,2MASSW J2224438-015852,2MASSW J2224438-015852,2MASSW J2224438-015852,2MASSW J2224438-015852
181,2MASS J22282889-4310262,2MASS J22282889-4310262,2MASS J22282889-4310262,2MASS J22282889-4310262
182,2MASS J22373255+3922398,2MASS J22373255+3922398,2MASS J22373255+3922398,2MASS J22373255+3922398
183,2MASSW J2244316+204343,2MASSW J2244316+204343,2MASSW J2244316+204343,2MASSW J2244316+204343
184,2MASS J23224684-3133231,2MASS J23224684-3133231,2MASS J23224684-3133231,2MASS J23224684-3133231
185,2MASS J23225299-6151275,2MASS J23225299-6151275,2MASS J23225299-6151275,2MASS J23225299-6151275
186,2MASS J23515044-2537367,2MASS J23515044-2537367,2MASS J23515044-2537367,2MASS J23515044-2537367
187,2MASSI J2356547-155310,2MASSI J2356547-155310,2MASSI J2356547-155310,2MASSI J2356547-155310
188,WISE 0005+3737,WISE 0005+3737,WISE 0005+3737,WISE 0005+3737
189,WISE 0008-1739,WISE 0008-1739,WISE 0008-1739,WISE 0008-1739
190,WISE 0015-4615,WISE 0015-4615,WISE 0015-4615,WISE 0015-4615
191,WISE 0031-3840,WISE 0031-3840,WISE 0031-3840,WISE 0031-3840
192,WISE 0032-4946,WISE 0032-4946,WISE 0032-4946,WISE 0032-4946
193,WISE 0038+2758,WISE 0038+2758,WISE 0038+2758,WISE 0038+2758
194,WISE 0038+8405,WISE 0038+8405,WISE 0038+8405,WISE 0038+8405
195,WISE 0040+0900,WISE 0040+0900,WISE 0040+0900,WISE 0040+0900
196,WISE 0049+0441,WISE 0049+0441,WISE 0049+0441,WISE 0049+0441
197,WISE 0049+2151,WISE 0049+2151,WISE 0049+2151,WISE 0049+2151
198,WISE 0106+1518,WISE 0106+1518,WISE 0106+1518,WISE 0106+1518
199,WISE 0123+4142,WISE 0123+4142,WISE 0123+4142,WISE 0123+4142
200,WISE 0135+1715,WISE 0135+1715,WISE 0135+1715,WISE 0135+1715
201,WISE 0138-0322,WISE 0138-0322,WISE 0138-0322,WISE 0138-0322
202,WISE 0146+4234,WISE 0146+4234,WISE 0146+4234,WISE 0146+4234
203,WISE 0148-7202,WISE 0148-7202,WISE 0148-7202,WISE 0148-7202
